case,repetition,condition,elapsed_ms,request_bytes,response_bytes
ko-md-10,0,direct,0.7278330000000324,0,0
ko-md-10,0,mcp,0.8832090000000221,204,1648
ko-md-10,1,mcp,0.8680410000000052,204,1648
ko-md-10,1,direct,0.7342919999999822,0,0
ko-md-10,2,direct,0.7776670000000081,0,0
ko-md-10,2,mcp,0.9667499999999905,205,1649
ko-md-10,3,mcp,0.7929579999999987,205,1649
ko-md-10,3,direct,0.8148330000000215,0,0
ko-md-10,4,direct,0.8265409999999633,0,0
ko-md-10,4,mcp,0.7910420000000045,205,1649
ko-md-10,5,mcp,0.7827499999999645,205,1649
ko-md-10,5,direct,0.7074589999999716,0,0
ko-md-10,6,direct,0.6422089999999798,0,0
ko-md-10,6,mcp,0.7627909999999929,205,1649
ko-md-10,7,mcp,0.8939589999999953,205,1649
ko-md-10,7,direct,0.6905419999999935,0,0
ko-md-10,8,direct,0.650333000000046,0,0
ko-md-10,8,mcp,0.7613749999999868,205,1649
ko-md-10,9,mcp,0.7479589999999803,205,1649
ko-md-10,9,direct,0.676290999999992,0,0
ko-md-10,10,direct,0.9077500000000214,0,0
ko-md-10,10,mcp,1.031000000000006,205,1649
ko-md-10,11,mcp,0.7875419999999735,205,1649
ko-md-10,11,direct,0.8102499999999964,0,0
ko-md-10,12,direct,0.6386669999999981,0,0
ko-md-10,12,mcp,0.7738330000000246,205,1648
ko-md-10,13,mcp,0.6914160000000038,205,1649
ko-md-10,13,direct,0.6917499999999563,0,0
ko-md-10,14,direct,0.6460410000000252,0,0
ko-md-10,14,mcp,0.6732079999999883,205,1648
ko-md-10,15,mcp,0.8159580000000233,205,1649
ko-md-10,15,direct,0.7691669999999817,0,0
ko-md-10,16,direct,0.7541250000000446,0,0
ko-md-10,16,mcp,0.725750000000005,205,1649
ko-md-10,17,mcp,0.6861660000000143,205,1649
ko-md-10,17,direct,0.6242499999999609,0,0
ko-md-10,18,direct,0.5979999999999563,0,0
ko-md-10,18,mcp,0.8844169999999849,205,1649
ko-md-10,19,mcp,0.7675830000000019,205,1648
ko-md-10,19,direct,0.7417499999999677,0,0
ko-xlsx-10,0,direct,3.5644999999999527,0,0
ko-xlsx-10,0,mcp,3.7685410000000275,206,1650
ko-xlsx-10,1,mcp,3.2779580000000124,206,1650
ko-xlsx-10,1,direct,3.796707999999967,0,0
ko-xlsx-10,2,direct,3.4184169999999767,0,0
ko-xlsx-10,2,mcp,3.5939590000000408,207,1651
ko-xlsx-10,3,mcp,3.1649999999999636,207,1651
ko-xlsx-10,3,direct,3.4413749999999936,0,0
ko-xlsx-10,4,direct,3.4588750000000346,0,0
ko-xlsx-10,4,mcp,4.152415999999903,207,1651
ko-xlsx-10,5,mcp,2.926708000000076,207,1651
ko-xlsx-10,5,direct,2.974458000000027,0,0
ko-xlsx-10,6,direct,2.960042000000044,0,0
ko-xlsx-10,6,mcp,3.310374999999908,207,1651
ko-xlsx-10,7,mcp,3.2685000000000173,207,1651
ko-xlsx-10,7,direct,3.05925000000002,0,0
ko-xlsx-10,8,direct,2.7038330000000315,0,0
ko-xlsx-10,8,mcp,3.1900000000000546,207,1651
ko-xlsx-10,9,mcp,2.9335419999999885,207,1651
ko-xlsx-10,9,direct,3.402832999999987,0,0
ko-xlsx-10,10,direct,2.645208000000025,0,0
ko-xlsx-10,10,mcp,2.9549590000000308,207,1650
ko-xlsx-10,11,mcp,2.7161250000000337,207,1651
ko-xlsx-10,11,direct,2.7231669999999895,0,0
ko-xlsx-10,12,direct,2.5934159999999338,0,0
ko-xlsx-10,12,mcp,2.9729169999999385,207,1651
ko-xlsx-10,13,mcp,2.5745419999999513,207,1651
ko-xlsx-10,13,direct,2.6832920000000513,0,0
ko-xlsx-10,14,direct,2.307042000000024,0,0
ko-xlsx-10,14,mcp,2.704666999999972,207,1650
ko-xlsx-10,15,mcp,3.1462080000000014,207,1651
ko-xlsx-10,15,direct,2.824957999999924,0,0
ko-xlsx-10,16,direct,2.8852920000000495,0,0
ko-xlsx-10,16,mcp,2.819082999999978,207,1651
ko-xlsx-10,17,mcp,2.539625000000001,207,1651
ko-xlsx-10,17,direct,2.680833000000007,0,0
ko-xlsx-10,18,direct,2.5411249999999654,0,0
ko-xlsx-10,18,mcp,3.224333999999999,207,1651
ko-xlsx-10,19,mcp,2.7609580000000733,207,1651
ko-xlsx-10,19,direct,2.665791000000013,0,0
ko-md-100,0,direct,6.1410829999999805,0,0
ko-md-100,0,mcp,6.561250000000086,205,1989
ko-md-100,1,mcp,7.166082999999958,205,1989
ko-md-100,1,direct,7.609750000000076,0,0
